מתי,משימה,הערה
תחילת השבוע,הזמנת הקניות מסמדר לפי גיליון «קניות»,עד יום שני
תחילת השבוע,בדיקת מלאי המטבח לפי גיליון «לבדוק במטבח»,
חמישי,הכנת בצקים לעוגות וחלות,
שישי בבוקר,קבלת האוכל מהספק ופריקה,
שישי,הכנת פלטות חימום — פריסה והדלקה,לפני כניסת השבת
שישי,מילוי והדלקת מיחמים,
שישי,הדלקת תנור החימום במטבח,
שישי,"ציוד הבדלה מוכן — נר, יין, בשמים",
שישי,הדלקת אורות ומזגנים וכיוון שעון שבת,
שישי,עיתון השבת מודפס ומופץ,
שישי,המרחבים פתוחים ומסודרים לפי הלו"ז,
שבת,לוודא שהאוכל על הפלטות בזמן לכל ארוחה,
שבת,לוודא שהמאפים בתנור החימום ב-10:00,לקידוש
מוצאי שבת,"כיבוי פלטות, מיחמים ותנור חימום",
מוצאי שבת,הכנסת שאריות למקרר,
מוצאי שבת,ניקיונות וארגון לפי גיליון «שיבוץ»,
